Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2022-11-04,7.72,8.898,7.66,8.715,11886503.72,2022-11-04 23:59:59.999000064,98774017.64201,292027,5912313.46,49166129.9632,0
2022-11-05,8.715,9.008,8.562,8.663,6375166.7,2022-11-05 23:59:59.999000064,55895433.24499,171233,3212926.23,28196880.84854,0
2022-11-06,8.664,8.772,8.094,8.101,5402107.02,2022-11-06 23:59:59.999000064,45910250.4759,128195,2504878.27,21304222.36861,0
2022-11-07,8.101,9.261,7.895,8.956,11376076.89,2022-11-07 23:59:59.999000064,97366046.73339,259312,5462708.95,46748663.22674,0
2022-11-08,8.956,9.47,6.578,7.708,36115113.39,2022-11-08 23:59:59.999000064,301313110.23092,877883,17264667.57,144255408.23904,0
2022-11-09,7.708,7.9,5.775,6.231,23647479.31,2022-11-09 23:59:59.999000064,159062051.39263,534761,11282005.51,76033943.53872,0
2022-11-10,6.232,7.51,6.087,7.21,18632257.98,2022-11-10 23:59:59.999000064,128075832.11045,394838,9541533.57,65643601.20622,0
2022-11-11,7.209,7.339,6.513,7.044,11210254.17,2022-11-11 23:59:59.999000064,77651501.14814,226301,5380165.14,37283989.85919,0
2022-11-12,7.045,7.074,6.158,6.281,15181553.03,2022-11-12 23:59:59.999000064,97643564.02154,268378,7555938.94,48621376.16163,0
2022-11-13,6.28,6.545,5.94,6.078,7288028.03,2022-11-13 23:59:59.999000064,45422401.31609,159288,3541810.03,22117361.85412,0
2022-11-14,6.077,6.438,5.69,6.291,12214030.16,2022-11-14 23:59:59.999000064,74288053.37186,264243,5629853.19,34247073.30603,0
2022-11-15,6.291,6.672,6.207,6.421,9028489.34,2022-11-15 23:59:59.999000064,58364458.60071,162347,4496031.02,29075790.64564,0
2022-11-16,6.421,6.564,6.077,6.179,6291977.07,2022-11-16 23:59:59.999000064,39562816.09355,122221,2871753.73,18075889.77238,0
2022-11-17,6.18,6.342,6.029,6.225,4888412.25,2022-11-17 23:59:59.999000064,30263489.00306,100903,2410301.52,14930365.3125,0
2022-11-18,6.224,6.44,6.069,6.183,5216596.13,2022-11-18 23:59:59.999000064,32627018.46391,87798,2489228.53,15560647.20524,0
2022-11-19,6.184,6.22,5.99,6.146,2913602.05,2022-11-19 23:59:59.999000064,17818230.55664,55789,1426472.72,8726948.72497,0
2022-11-20,6.146,6.252,5.709,5.768,4952741.6,2022-11-20 23:59:59.999000064,29792054.05031,89931,2380574.0,14339974.87827,0
2022-11-21,5.767,5.896,5.528,5.876,7858097.01,2022-11-21 23:59:59.999000064,45079333.64236,142035,4038486.35,23171799.80561,0
2022-11-22,5.874,6.485,5.837,6.422,11891787.33,2022-11-22 23:59:59.999000064,73312569.08168,206660,6159877.44,37999087.24869,0
2022-11-23,6.423,6.809,6.343,6.707,9877403.25,2022-11-23 23:59:59.999000064,64504866.00591,174060,4905410.35,32052145.61022,0
2022-11-24,6.708,6.978,6.586,6.831,6713104.24,2022-11-24 23:59:59.999000064,45421620.88419,137507,3487081.95,23586414.27711,0
2022-11-25,6.83,6.993,6.661,6.848,5761022.33,2022-11-25 23:59:59.999000064,39209013.52817,113315,2813200.02,19149681.65128,0
2022-11-26,6.848,7.299,6.824,7.156,8067345.14,2022-11-26 23:59:59.999000064,57109526.62374,134550,4154986.63,29432482.80417,0
2022-11-27,7.157,7.278,7.126,7.19,823407.5,2022-11-27 23:59:59.999000064,5922680.18351,16869,427425.14,3075707.64234,0
